csvColumn,locatorType,locatorValue
firstName,id,FirstName
middleName,id,MiddleName
lastName,id,Surname
fullName,id,FullName
devNagariFullName,id,DevNagariFullName
motherName,id,MotherName
email,id,StudentEmail
email,id,Email
phone,id,Mobile
country,id,Nationality
comments,id,PAddress
password,id,StudentPassword
religion,id,Religion
aadhar,id,Aadhar
gender,id,Gender
handicap,id,Handicap
dob,id,DOB
birthState,id,BState
birthDistrict,id,BDistrict
birthTaluka,id,BTaluka
birthPlace,id,BirthPlace
domicileState,id,DomacileState
motherTounge,id,MotherTounge
locality,id,Locality
bloodGroup,id,BloodGroup
aparId,id,aparId
admissionCategory,id,AdmissionCategory
casteCategory,id,CasteCategory
caste,id,CasteInput
subCaste,id,SubCaste
casteValidityNo,id,CasteValidityNo
eligibilityNo,id,EligibilityNo
grNo,id,GRNO
state,id,State
district,id,District
taluka,id,Taluka
pinCode,id,PIN
sameAddress,id,SameAddress
correspondenceAddress,id,CAddress
correspondenceState,id,CState
correspondenceDistrict,id,CDistrict
correspondenceTaluka,id,CTaluka
correspondencePin,id,CPin
fatherMobileNo,id,FatherMobileNo
motherMobileNo,id,MotherMobileNo
earningParentAnnualIncome,id,EPAnnualIncome
parentPAN,id,ParentPAN
lastInstituteName,id,LastInstitueName
udisc,id,UDISC
migrationNo,id,MigrationNo
lctc,id,LCTC
bank,id,Bank
bankAccNo,id,BankAccNo
ifsc,id,IFSC
micr,id,MICR
otherReligion,id,OtherReligion
otherCaste,id,OtherCaste
otherSubCaste,id,OtherSubCaste
docType,id,DocType
uploadDocument,id,UploadDocument
photo,id,Photo
signature,id,Sign
seatNo,id,SeatNo
examBody,id,ExamBody
passingMonthYear,id,PassingMonthYear
obtainedMarks,id,ObtainedMarks
totalMarks,id,TotalMarks
percentage,id,Percentage
exam,id,name,Exam[]
